category,number,prompt,correct
A10 Networks A10 Certified Professional System Administration 4,1,When you execute a reboot command on the vMaster how is aVCS Chassis affected? A. Reboot is performed on vMaster and reload operation on vBlades. B. All devices in the chassis are rebooted. C. Reboot is performed on vMaster. D. Reboot is performed only on vBlades. ,A
A10 Networks A10 Certified Professional System Administration 4,2,What information is typically submitted with every aXAPI call after the initial login is complete? A. Authorization header with signature B. The ACOS device serial number C. The programming language being used D. The AXAPI special permission XML file E. Log file location ,A
A10 Networks A10 Certified Professional System Administration 4,3,What is the purpose of a VRRP-A floating-IP address? A. To serve as a tie-breaker when selecting a VRRP-A owner. B. To provide a single next hop IP address for uplink and downlink devices. C. To use as source IP address for VRRP-A hellos. D. To provide a single IP to manage all VRRP-A devices in the set. ,B
A10 Networks A10 Certified Professional System Administration 4,4,When vBlade A issues a vcs vmaster-take-over 200 command which statement is true? A. The command is ignored when the current vMaster is in vMaster maintenance mode. B. Any subsequent vmaster-take-over command within the chassis with a parameter smaller than 201 is ignored. C. The 200 priority is compared to the current vmaster's default vrid priority to determine which device controls the chassis. D. If an administrator on vBlade B were to simultaneously issue command vcs vmaster-take-over 210 vBlade B would become the vMaster. ,C
Aafm India Cwm Level 1,1,Under flexible exchange rates a small open economy should A. Lose control of its monetary policy B. Be insulated from its trading partners' inflation C. Tend to experience the inflation of its trading partners D. Find that changes in its interest rates match changes in its trading partner's interest rates ,C
Aafm India Cwm Level 1,2,The cheapest form of life insurance which provides risk cover in the event of death of policy holder during policy term is A. Endowment Insurance B. Endowment Insurance C. Mediclaim Policy D. Term Insurance policy ,D
Aafm India Cwm Level 1,3,With the increase in the age of investor the risk appetite of the investor A. Increases B. Remains constant C. Decreases D. Any of the above ,C
Aafm India Cwm Level 1,4,In _________ without delivering possession of the mortgaged property the mortgager binds himself personally to pay the mortgage money. A. Usufructuary mortgage B. Simple mortgage C. English mortgage D. Anomalous mortgage ,B
Aafm India Cwm Level 2,1,Conservative retirees likely have ____________ than they did early in their careers. A. More Small-cap Stocks B. More International Stocks C. Fewer Bonds D. More Bonds ,C
Aafm India Cwm Level 2,2,Which of the following model was issued in double taxation convention on income and capital? A. The OECD Model B. The UN Model C. The FATF Model D. The OPEC Model ,A
Aafm India Cwm Level 2,3,A bank is considering approving a loan to Sumit Nayyar. Mr. Sumit has Rs. 1 00 000 in the bank right now but generally keeps a balance of Rs. 4 50 000 most of the year. In this fact what is the aspect of evaluating a consumer loan application most concerned with? A. Character and Purpose B. Income Level C. Deposit Balance D. Employment and Residential Stability ,B
Aafm India Cwm Level 2,4,Which one of the following leases in commercial real estate requires that the tenant pay a significant share of expenses of operation as well as all taxes and insurance related to their rental unit? A. Triple Net Lease B. Gross Lease C. Modified Net Lease D. All of the above ,A
Aba Crcm,1,To be effective compliance risk management professionals must design a framework to ensure that bank management understands the risks and the steps that must be taken to mitigate them. The many roles compliance professionals fill incorporate risk management aspects including: A. Coordinating regulatory exams to explain risks to examiners B. Overseeing compliance training targeting higher risk areas C. Tracking regulatory proposals and final rules to understand new risks D. All of these ,D
Aba Crcm,2,They also embrace the concept of risk-based compliance management. They expect compliance management to be tailored to the bank be it large or small offering standard or specialty financial services simple or complex products lines and adjusted as appropriate for the customer base as that issued for the BankSecrecy Act also establishes their expectations that a bank's program be risk based. Who are they? [] A. Outsourcing firms B. Foreign financial service providers C. Bank regulatory agencies D. Risk management organizations ,C
Aba Crcm,3,A compliance professional's responsibilities include all of the following EXCEPT: A. Understanding the business units operating environment and risk tolerance B. Performing risk assessments with the assistance of business units to determine current risk levels and risks associated with the bank's products lines of business customers and locations among other factors C. Working with business units to ensure prompt corrective action for any detected errors D. Assisting business lines with compliance training for employees as needed ,D
Aba Crcm,4,______________ should include basic elements designed to understand and mitigate risk. It usually includes:Written program -Compliance-related policies and procedures A. Tactical Compliance procedure B. Rank solution C. Compliance program D. None of these ,C
Aba Crcm,5,In a compliance program tactical compliance procedures should be integrated into business line procedures such as how to deliver an Adverse Action Notice when an application is declined. In this case: A. Regulations should be applied consistently to procedures throughout the bank B. Revisions to procedures should be based on compliance expertise and not mere editing C. Providing solutions to mitigate any identified risk D. Assisting business units in developing or revising policies and procedures to reflect current regulatory requirements ,A
Aba Crcm,6,Which of the following should be done during research and interpreting regulations Compliance professionals in mitigating compliance risk? A. Track regulatory proposals B. Implementing final regulatory rules C. Understanding the business units' operating environment and risk tolerance D. Ranking solutions as high moderate and low risk ,AB
Aba Crcm,7,The compliance program should address plans to verify adherence to applicable regulations through: A. Ongoing monitoring to evaluate the program self monitoring and corrective action B. Self monitoring C. Periodic reviews D. Ongoing monitoring to evaluate the program self monitoring and periodic reviews ,A
Aba Crcm,8,There is no established template for documenting compliance risk. Each institution should develop a risk assessment that fits its risk profile. The components that are commonly used throughout the industry are as follows EXCEPT: A. Risk assessment B. Measuring key risk indicators C. Identifying key performance indicators D. Training the leadership of compliance regulation program ,D
Aba Crcm,9,In Compliance regulation and risk assessment key performance indicators usually include: A. Fines or penalties B. Customer complaints C. Regulatory criticism from a regulator or internal or external auditors D. None of these ,AB
Aba Crcm,10,For example on a 0-5 scale:The risk trend shows the direction of risk and probable change to risk over the next 12 months. A trend toward increasing risk means that A. Management may want to take additional action through more controls or increased reviews B. Risk may prompt a decrease in controls and improved efficiencies C. Controls currently in place are appropriate to succeed in keeping risks within management's established risk-tolerance level D. Risk measurements exceed management's tolerance for risk ,A
Aba Ctfa,1,Financial goals cove a wide range of financial aspirations such as: A. Controlling living expenses B. Meeting retirement needs C. Setting up a savings and investment program D. All of the above ,D
Aba Ctfa,2,These are target dates in the future when certain financial objectives are expected to be completed. What are these? A. Goal dates B. Target dates C. Due dates D. Financial dates ,A
Aba Ctfa,3,Today's well-defined employee benefits package cover a full spectrum of benefits that may include all EXCEPT: A. Long -term care insurance B. Dental and vision care C. Subsidized employee benefit plan D. Partial retirement plans ,D
Aba Ctfa,4,Tax deferred retirement plans and flexible spending accounts offer tax advantages. Some retirement plans allow you to__________ against them. A. Lend B. Borrow C. Spend D. None of the above ,B
Aba Ctfa,5,Accumulating assets to enjoy in retirement is only part of the: A. Long-term financial planning process B. Short-term financial planning process C. Life time financial planning process D. Permanent financial planning process ,A
Aba Ctfa,6,This is a type of employee benefit plan wherein the employer allocates a certain amount of money and then the employee spends that money for benefits selected from a menu covering everything from child care to health and life insurance to retirement benefits. [] A. Flexible benefit plan B. Cafeteria plan C. Short-term financial plan D. Both of the above are one and the same ,D
Aba Ctfa,7,Most financial planners fall into one of two categories based on how they are paid. Commission based planners earn commissions on the financial products they sell whereas ______________ charge fees based on the complexity of the plan they prepare. A. Free only planners B. Commission based planners C. Professional planners D. Security planners ,A
Aba Ctfa,8,When determining the interaction between the UK and EU on the regulation of the financial services industry the UK government must always A. seek approval from the European Commission before implementing any new regulations. B. implement new EU Directives by passing acts of Parliament. C. accommodate all EU Decisions in UK legislation. D. provide copies of new regulation to the European Commission within a reasonable period of time for their approval. ,B
Aba Ctfa,9,A client has previously written to her former adviser opting out of any marketing activities from the firm or any third parties. However she continues to receive direct investment offers from the firm. She should complain based on the firm not complying with which set of regulations? A. Conduct of Business rules. B. Data Protection Act 1998. C. Distance Selling Regulations. D. Treating Customers Fairly. ,B
Aba Ctfa,10,The Financial Services and Markets Act 2000 regulates the provision of which type(s) of financial advice? A. Advice to vulnerable individuals only B. Advice to all individuals C. Advice to all individuals and group personal pensions schemes only D. Advice to all individuals unless they are elective professional clients ,B
Acfe Cfe,1,"In Cressey's fraud triangle its three of the legs are Opportunity Pressure and [{""voted_answers"": ""C"" ""vote_count"": 3 ""is_most_voted"": false}] A. Violation B. Isolation C. Rationalization D. None of the above ",C
Acfe Cfe,3,Which of the following offender types in which people who take the money and run away?   A. Absconders B. Long-term violators C. Offender types D. None of the above ,A
Acfe Cfe,4,When situational pressures and perceived opportunities are low and personal integrity is high occupational fraud is much more likely to occur than when the opposite is true. [] A. True B. False ,B
Acsm 010 111,1,What is the function of the tricuspid valve? [] A. It acts as a pacemaker. B. To pump blood through the heart. C. Prevents backflow of blood to the left atrium. D. Prevents backflow of blood to the right atrium. ,D
Acsm 010 111,2,What is the fundamental unit of muscle contraction? [] A. Myofibril B. Sarcomere C. Myosin D. Sarcolemma ,B
Acsm 010 111,3,Which chamber of the heart is responsible for pumping oxygenated blood to the body? [] A. Right ventricle B. Left ventricle C. Right atrium D. Left atrium ,B
Acsm 010 111,4,What is the natural curve in the lumbar region of the spine? [] A. Kyphotic curve B. Scoliotic curve C. Lordotic curve D. Myotic curve ,C
Acsm 010 111,5,"Adenosine triphosphate production via ""anaerobic"" glycolysis is associated with the significant formation of what by-product? [] A. Pyruvic Acid B. Phosphoric Acid C. Citric Acid D. Lactic Acid ",D
Acsm 010 111,6,The changes in muscle size associated with long-term resistance training is most likely due to increases in _____. [] A. Muscle fiber cross-sectional diameter. B. Muscle fiber number. C. Connective tissue thickness. D. Hydration state of the muscle. ,A
Acsm 010 111,7,Downhill walking/jogging/running is characterized by eccentric activation of which of the following muscle groups? [] A. Hamstrings B. Gastrocnemius C. Brachioradialis D. Quadriceps femoris ,D
Acsm 010 111,8,What is the typical resting blood pressure response to long term aerobic exercise in a hypertensive individual? [] A. Both systolic and diastolic pressures will increase. B. Both systolic and diastolic pressures will decrease. C. Systolic will increase while diastolic will remain unchanged. D. Systolic will decrease while diastolic will remain unchanged. ,B
Acsm 010 111,9,How does heart rate increase in relation to work rate and oxygen uptake during dynamic exercise? [] A. Exponentially B. Linearly C. Curvilinearly D. Inversely ,B
Acsm 010 111,10,Which cardiovascular training approach if repeated frequently is most likely going to lead to overtraining? [] A. One intensive day followed by three easy days. B. One long day followed by three shorter duration days. C. Two consecutive intensive days followed by one easy day. D. A medium intensive day followed by two easy days. ,C
Ahima Rhia,1,In preparation for an HER you are conducting a total facility inventory of all forms currently used. You must name each form for bar coding and indexing into a document management system. The unnamed document in front of you includes a microscopic description of tissue excised during surgery. The document type you are most likely to give to this form is [] A. recovery room record. B. pathology report. C. operative report. D. discharge summary. ,B
Ahima Rhia,2,Patient data collection requirements vary according to health care setting. A data element you would expect to be collected in the MDS but not in the UHDDS would be [] A. personal identification. B. cognitive patterns. C. procedures and dates. D. principal diagnosis. ,B
Ahima Rhia,3,A good first step toward protecting the security of data contained in a health information computer system would be to [] A. establish a good record tracking system. B. define levels of security for different types of information depending on sensitivity. C. provide remote terminals for improved access to the record. D. provide internet access to facility records. ,B
Ahima Rhia,4,"In the number ""99-0001"" listed in a tumor registry accession register what does the prefix ""99"" represent? A. the number of primary cancers reported for that patient B. the year the case was entered into the database of the registry C. the sequence number of the case D. the stage of the tumor based upon the TNM system of staging ",B
Ahima Rhia,5,A risk manager needs to locate a full report of a patients fall from his bed including witness reports and probable reasons for the fall. She would most likely find this information in the [] A. doctors' progress notes. B. integrated progress notes. C. incident report. D. nurses' notes. ,C
Ahima Rhia,6,For continuity of care ambulatory care providers are more likely than providers of acute care services to rely on the documentation found in the [] A. interdisciplinary patient care plan. B. discharge summary. C. transfer record. D. problem list. ,D
Ahima Rhia,7,Joint Commission does not approve of auto authentication of entries in a health record. The primary objection to this practice is that [] A. it is too easy to delegate use of computer passwords. B. evidence cannot be provided that the physician actually reviewed and approved each report. C. electronic signatures are not acceptable in every state. D. tampering too often occurs with this method of authentication. ,B
Ahima Rhia,8,As part of quality improvement study you have been asked to provide information on the menstrual history number of pregnancies and number of living children on each OB patient from a stack of old obstetrical records the best place in the record to locate this information is the A. prenatal record. B. labor and delivery record. C. postpartum record. D. discharge summary. ,A
Ahima Rhia,9,As a concurrent record reviewer for an acute care facility you have asked Dr. Crossman to provide an updated history and physical for one of her recent admissions. Dr. Crossman pages through the medical record to a copy of an H&P performed in her office a week before admission. You tell Dr. Crossman. A. a new H&P is required for every inpatient admissions. B. that you apologize for not noticing the H&P she provided. C. the H&P copy is acceptable as long as she documents any interval changes. D. Joint Commission standards do not allow copies of any kind in the original record. ,C
Ahima Rhia,10,As a new CTR you are interested in identifying every reportable case of cancer from the previous year. A key resource will be the facility's A. disease index. B. number control index. C. physicians' index. D. patient index. ,A
Ahip Ahm 250,1,The following statements describe two types or models of HMOs:The Quest HMO has contracted with only one multi-specialty group of physicians. These physicians are employees of the group practice have an equity interest in the practice and provide A. A captive group a staff model B. A captive group a network model C. An independent group a network model D. An independent group a staff model ,B
Ahip Ahm 250,2,______________ HMOs can't medically underwrite any group incl small groups. A. State B. Not-for-profit C. For-profit D. Federally qualified ,B
Ahip Ahm 250,3,A common physician-only integrated model is a group practice without walls (GPWW). One characteristic of a typical GPWW is that the A. GPWW combines multiple independent physician practices under one umbrella organization B. GPWW generally has a lesser degree of integration than does an IPA. C. member physicians cannot own the GPWW D. GPWW's member physicians must perform their own business operations ,A
Ahip Ahm 250,4,A health plan may use one of several types of community rating methods to set premiums for a health plan. The following statements are about community rating. Select the answer choice containing the correct statement. A. Standard (pure) community rating is typically used for large groups because it is the most competitive rating method for large groups. B. Under standard (pure) community rating a health plan charges all employers or other group sponsors the same dollar amount for a given level of medical benefits or health plan without adjusting for factors such as age gender or experience. C. In using the adjusted community rating (ACR) method a health plan must consider the actual experience of a group in developing premium rates for that group. D. The Centers for Medicare and Medicaid Services (CMS) prohibits health plans that assume Medicare risk from using the adjusted community rating (ACR) me ,B
Ahip Ahm 250,5,A health plan's ability to establish an effective provider network depends on the characteristics of the proposed service area and the needs of proposed plan members. It is generally correct to say that A. health plans have more contracting options if providers are affiliated with single entities than if providers are affiliated with multiple entities B. urban areas offer more flexibility in provider contracting than do rural areas C. consumers and purchasers in markets with little health plan activity are likely to be more receptive to HMOs than to loosely managed plans such as PPOs D. large employers tend to adopt health plans more slowly than do small companies ,B
Ahip Ahm 250,6,A health savings account must be coupled with an HDHP that meets federal requirements for minimum deductible and maximum out-of-pocket expenses. Dollar amounts are indexed annually for inflation. For 2006 the annual deductible for self-only coverage must A. $525 B. $1 050 C. $2 100 D. $5 250 ,B
Ahip Ahm 250,7,A medical foundation is a not-for-profit entity that purchases and manages physician practices. In order to retain its not-for-profit status a medical foundation must A. Provide significant benefit to the community B. Employ rather than contract with participating physicians C. Achieve economies of scale through facility consolidation and practice management D. Refrain from the corporate practice of medicine ,A
Ahip Ahm 250,8,A particular health plan offers a higher level of benefits for services provided in-network than for out-of-network services. This health plan requires preauthorization for certain medical services. With regard to the steps that the health plan's claims enforcement policy clients: A. should assume that all services requiring preauthorization have been preauthorized B. should investigate any conflicts between diagnostic codes and treatment codes before approving the claim to ensure that the appropriate payment is made for the claim C. need not verify that the provider is part of the health plan's network before approving the claim at the in-network level of benefits D. need not determine whether the member is covered by another health plan that allows for coordination of benefits ,B
Ahip Ahm 250,9,A physician-hospital organization (PHO) may be classified as an open PHO or a closed PHO. With respect to a closed PHO it is correct to say that A. the specialists in the PHO are typically compensated on a capitation basis B. the specialists in the PHO are typically compensated on a capitation basis C. it typically limits the number of specialists by type of specialty D. it is available to a hospital's entire eligible medical staff E. physician membership in the PHO is limited to PCPs ,B
Ahip Ahm 250,10,A public employer such as a municipality or county government would be considered which of the following? A. Employer-employee group B. Multiple-employer group C. Affinity group D. Debtor-creditor group ,A
Ahlei Ahlei Cha,1,The term informal dress is the same as: A. Your Option B. Casuals Only C. Business Attire D. Black Tie Optional ,A
Ahlei Ahlei Cha,2,A public area in a hotel that serves as an entrance or waiting area is called a: A. reception area B. entrance hall C. lobby D. hall ,B
Ahlei Ahlei Cha,3,Luggage that is tagged for special handling is: A. Marked VIP B. VIP Tag C. Tracked VIP D. Hot Tag VIP ,A
Ahlei Ahlei Cha,4,A retractable bed that is built into the wall is called: A. James bed B. Johnson bed C. Steven bed D. Murphy Bed ,D
Aiwmi Ccra,1,Case Facts as on March 31 2012 -Mark Construction Company (MCC) has bagged a contract for construction of a large dam and hydro power project on river Shivna in Madhya Pradesh (MP). The project is also of relevance from the irrigation perspective due to its location and as per the agreement MCC will have to undertake construction of web of canals approach road to dam power house and other ancillary units. MCC is promoted by Mr. Thomas Mark who is a MP from the ruling party which recently formed government in MP. Historically MCC has been engaged into construction of rural roads small bridges and railway platforms on contract basis for the Government.MCC will have a separate special purpose vehicle (SPV) floated for this venture.The hydro power project comes under the public private partnership scheme of the Government of MP where in the private partner builds owns operates and transfers (BOOT) the hydro power plant. The detailed terms of the hydro power project agreement are as follows:1. The construction of the dam canals and hydro power plant shall be undertaken by the contractor. The Government of MP will have to acquire land which will submerge on construction of dam and shall rehabilitate the owners of land.2. MCC shall have right to operate the hydro power project from date of commencement of commercial operations (DCCO) for a period of 20 years and shall transfer the project to Government thereafter. Further SPV shall be tax exempt for a period of five years from DCCO i.e. FY17-FY21.3. The power project is of 600 megawatts (MW) shall comprise 4 units of 150 MW each. The estimated cost of project is about INR3 500 Million to be spent over a period of 4 year(s) the project is estimated to be commercially operational by April 1 2016 with two units operational om same day and one unit each will be operational on April 1 2017 and April 1 2018.4. Means of finance:Means of Finance INR Million -Government Aid (To be classified as Equity) 500Equity 900 Debt 21005. Amount if expenditure estimated in various years is as follows:Funding -Cost of Project -INR Million -Debt -Govt Aid -Equity -Total -FY13 (April to march)700250450700FY14 -12005002504501200FY15 -12001200-1200FY15 -400400-400Debt shall bear a fixed rate of interest of 10% and all interest till DCCO shall be added to the principal. The expected principal along with capitalized interest is expected to be INR2 400 Million (i.e.INR2100 Million debt plus INR300 Million capitalized interest). The repayment of the same shall be in 12 equated annual installments starting from FY17.Brief projections for the period of FY17 to FY21 are given below:Developments as on March 31 2015The project manager for the SPV made following comments at a press conferee on March 31 2015:As you all are aware we were running bang on schedule till we last met on December 21 2014. From today we are just left with one more year to complete the project in time. However the flash floods which struck our dam site on this March 15 2015 have created havoc in the region. I shall not point out the loss of lives in the region as you all are well aware of those. Our project has also been badly hit due to the same and we have been assessing the damage over the last one week. After analyzing damage we have made changes in project schedule. Now we will be making only one unit of 150 MW operational on April 1 2016 and 1 unit each will be added in each of subsequent year(s).Development as on September 30 2015Post the flash floods lot of environmentalists started raising issues of changes in environment due to construction of large number of dams. A few Public InterestLitigations (PILs) have been filed in various courts.Honorable High Court of MP on September 27 2015 banned construction of any dams in the region and banned permissions for new dams till next hearing scheduled on November 30 2015. MCC in its press release has indicated that they will apply to the higher court on the matter.As a credit analyst on March 31 2012 which of the following sets of risks are you going to put in your credit appraisal note? A. Off-take risk Cost and Time over run risk lack of management experience in such big projects. B. Lack of management experience in large projects Exchange rate risks Cost and time over run risks. C. Cost and Time over run risk lack of management experience in such big projects. D. Obsolete technology risk political risks and Cost and time over run risks ,C
Aiwmi Ccra,2,Case Facts as on March 31 2012 -Mark Construction Company (MCC) has bagged a contract for construction of a large dam and hydro power project on river Shiva in Madhya Pradesh (MP). The project is also of relevance from the irrigation perspective due to its location and as per the agreement MCC will have to undertake construction of web of canals approach road to dam power house and other ancillary units. MCC is promoted by Mr. Thomas Mark who is a MP from the ruling party which recently formed government in MP. Historically MCC has been engaged into construction of rural roads small bridges and railway platforms on contract basis for the Government.MCC will have a separate special purpose vehicle (SPV) floated for this venture.The hydro power project comes under the public private partnership scheme of the Government of MP where in the private partner builds owns operates and transfers (BOOT) the hydro power plant. The detailed terms of the hydro power project agreement are as follows:1. The construction of the dam canals and hydro power plant shall be undertaken by the contractor. The Government of MP will have to acquire land which will submerge on construction of dam and shall rehabilitate the owners of land.2. MCC shall have right to operate the hydro power project from date of commencement of commercial operations (DCCO) for a period of 20 years and shall transfer the project to Government thereafter. Further SPV shall be tax exempt for a period of five years from DCCO i.e. FY17-FY21.3. The power project is of 600 megawatts (MW) shall comprise 4 units of 150 MW each. The estimated cost of project is about INR3 500 Million to be spent over a period of 4 year(s) the project is estimated to be commercially operational by April 1 2016 with two units operational om same day and one unit each will be operational on April 1 2017 and April 1 2018.4. Means of finance:Means of Finance INR Million -Government Aid (To be classified as Equity) 500Equity 900 Debt 21005. Amount if expenditure estimated in various years is as follows:Funding -Cost of Project -INR Million -Debt -Govt Aid -Equity -Total -FY13 (April to march)700250450700FY14 -12005002504501200FY15 -12001200-1200FY15 -400400-400Debt shall bear a fixed rate of interest of 10% and all interest till DCCO shall be added to the principal. The expected principal along with capitalized interest is expected to be INR2 400 Million (i.e.INR2100 Million debt plus INR300 Million capitalized interest). The repayment of the same shall be in 12 equated annual installments starting from FY17.Brief projections for the period of FY17 to FY21 are given below:Developments as on March 31 2015The project manager for the SPV made following comments at a press conferee on March 31 2015:As you all are aware we were running bang on schedule till we last met on December 21 2014. From today we are just left with one more year to complete the project in time. However the flash floods which struck our dam site on this March 15 2015 have created havoc in the region. I shall not point out the loss of lives in the region as you all are well aware of those. Our project has also been badly hit due to the same and we have been assessing the damage over the last one week. After analyzing damage we have made changes in project schedule. Now we will be making only one unit of 150 MW operational on April 1 2016 and 1 unit each will be added in each of subsequent year(s).Development as on September 30 2015Post the flash floods lot of environmentalists started raising issues of changes in environment due to construction of large number of dams. A few Public InterestLitigations (PILs) have been filed in various courts.Honorable High Court of MP on September 27 2015 banned construction of any dams in the region and banned permissions for new dams till next hearing scheduled on November 30 2015. MCC in its press release has indicated that they will apply to the higher court on the matter.Based on the initial projections do scenario analysis assuming only 75% capacity is utilized in FY17 and FY18 and thereby revenues will be proportionally reduced.Compute DSCR under such scenario for FY17 and FY18 assuming other things remain constant? A. FY17: 0.85; FY18: 1.26 B. FY17: 0.74; FY18: 1.09 C. FY17:1.35; FY18: 2.09 D. FY17:0.98; FY18: 1.46 ,A
